board,noise,variant,precision,recall,F1,Pratt FOM,time (ms)
05,gaussian s=25,4 + noise-scaled threshold floor,0.9261891302592263,0.8082353252807798,0.8632013583243917,0.30094848516157696,12.121800042223185
05,gaussian s=25,5 + morphological repair,0.9419649379108839,0.8028448823903369,0.8668586352434979,0.3375174440803037,25.29100002720952
05,gaussian s=25,6 Proposed (+ noise-adaptive filter),0.9547509738452977,0.7916401780038144,0.8655784015899655,0.3574037110961501,36.528300028294325
05,gaussian s=25,7 Proposed with Sobel + Otsu,0.7111084124147742,0.9764383343928799,0.8229147015981173,0.7056114914867342,50.322099996265024
05,salt & pepper 1%,1 Baseline (Gaussian + fixed Canny),0.3319777017610541,0.8762449671540581,0.481523477186029,0.3606491273956094,6.115800002589822
05,salt & pepper 1%,2 + intensity-Otsu thresholds,0.2493967940499606,0.9593001695274422,0.39587488679317245,0.2823838200153677,8.665399975143373
05,salt & pepper 1%,3 + gradient-domain thresholds,0.2489287105570705,0.974597372324645,0.39656738111162426,0.2832802986584759,13.54479999281466
05,salt & pepper 1%,4 + noise-scaled threshold floor,0.2489287105570705,0.974597372324645,0.39656738111162426,0.2832802986584759,12.886299984529614
05,salt & pepper 1%,5 + morphological repair,0.301230923592581,0.9683195592286501,0.459513503568618,0.33245481880246314,27.185700018890202
05,salt & pepper 1%,6 Proposed (+ noise-adaptive filter),0.35889947740547185,0.9535123966942148,0.5215056456388006,0.38489007430749866,36.65299998829141
05,salt & pepper 1%,7 Proposed with Sobel + Otsu,0.4128605025374428,0.9732332061877517,0.5797725623649941,0.4310649909094731,44.59220002172515
05,salt & pepper 5%,1 Baseline (Gaussian + fixed Canny),0.2469826274685947,0.9335664335664335,0.39062280135409233,0.2792745019333854,6.543199997395277
05,salt & pepper 5%,2 + intensity-Otsu thresholds,0.16428571428571428,0.9840935579571943,0.2815664075461825,0.20022289328363277,9.439600049518049
05,salt & pepper 5%,3 + gradient-domain thresholds,0.16401504425131716,0.9862523839796568,0.2812567311414976,0.20025903701329953,16.708399984054267
05,salt & pepper 5%,4 + noise-scaled threshold floor,0.25929396815311917,0.9282289680016953,0.40535498749551196,0.29009872130401965,14.753600000403821
05,salt & pepper 5%,5 + morphological repair,0.2737226751129342,0.9243881118881119,0.42237494157272354,0.30354606229456765,28.065099962987006
05,salt & pepper 5%,6 Proposed (+ noise-adaptive filter),0.3849040867389491,0.7516158084339902,0.5090979886099053,0.2983729441356032,63.04979999549687
05,salt & pepper 5%,7 Proposed with Sobel + Otsu,0.3908301189588668,0.9384800805255351,0.5518445305762143,0.41079641061143846,71.4556000311859
05,speckle s=0.15,1 Baseline (Gaussian + fixed Canny),0.4779491470627389,0.8657157236702692,0.615879897941046,0.34862536855262843,6.125799962319434
05,speckle s=0.15,2 + intensity-Otsu thresholds,0.326312473522415,0.9597769654587837,0.4870379712888252,0.3578376605157165,6.581099994946271
05,speckle s=0.15,3 + gradient-domain thresholds,0.32087533808704205,0.9735113371477008,0.4826622297887702,0.35783622229277495,12.413399992510676
05,speckle s=0.15,4 + noise-scaled threshold floor,0.32267547173717276,0.9721736596736597,0.4845299527735042,0.3587239371862613,11.834600009024143
05,speckle s=0.15,5 + morphological repair,0.36528183832703304,0.9649952320406866,0.5299576158810374,0.3978909842093012,25.63619997818023
05,speckle s=0.15,6 Proposed (+ noise-adaptive filter),0.38450006626027033,0.9760542487815215,0.5516765029973619,0.41886419502764766,33.55210000881925
05,speckle s=0.15,7 Proposed with Sobel + Otsu,0.4777141053114955,0.9959339902521721,0.6457060088292549,0.4920530778947963,43.3014000300318
06,clean,1 Baseline (Gaussian + fixed Canny),0.33151430462602044,0.8474386616085805,0.47658905259579265,0.3374946428381574,5.052499996963888
06,clean,2 + intensity-Otsu thresholds,0.263273473966404,0.95262138042084,0.4125355729455038,0.3087994266836275,6.798000016715378
06,clean,3 + gradient-domain thresholds,0.2692321934420766,0.9693649190797194,0.4214191051653066,0.31746804588519945,12.647700030356646
06,clean,4 + noise-scaled threshold floor,0.2692321934420766,0.9693649190797194,0.4214191051653066,0.31746804588519945,14.414300036150962
06,clean,5 + morphological repair,0.28977430570170637,0.9559782757020824,0.4447399029995586,0.3342079505727691,29.64259998407215
06,clean,6 Proposed (+ noise-adaptive filter),0.3411405530842116,0.9746458884855763,0.5053878455572873,0.3793842661776514,35.05169996060431
06,clean,7 Proposed with Sobel + Otsu,0.3887596456883005,0.9952375753936846,0.5591170289825494,0.415352806354176,42.06159996101633
06,gaussian s=10,1 Baseline (Gaussian + fixed Canny),0.4024221392642445,0.8602248846920116,0.5483298685667997,0.33703925356765047,5.386499979067594
06,gaussian s=10,2 + intensity-Otsu thresholds,0.26513019494179796,0.9565786959962883,0.41518547999094435,0.31003852055496306,7.4631000170484185
06,gaussian s=10,3 + gradient-domain thresholds,0.2666546762589928,0.9708659698152343,0.41839455639502315,0.31512806697192586,12.508600018918514
06,gaussian s=10,4 + noise-scaled threshold floor,0.26780215817359704,0.9641112415054174,0.4191708138930069,0.3131536238769873,12.653500016313046
06,gaussian s=10,5 + morphological repair,0.28904731586354804,0.955732649218089,0.4438566890358473,0.3306813409354406,24.387700017541647
06,gaussian s=10,6 Proposed (+ noise-adaptive filter),0.28618637908010613,0.9534401353674845,0.44023191958274743,0.32805167753489095,34.50930002145469
06,gaussian s=10,7 Proposed with Sobel + Otsu,0.37635751936965073,0.9955241396250102,0.5462176612761798,0.4012618736782631,42.33880003448576
06,gaussian s=25,1 Baseline (Gaussian + fixed Canny),0.3791182711637257,0.9110559209628558,0.535428390672732,0.4085236489380136,6.758000003173947
06,gaussian s=25,2 + intensity-Otsu thresholds,0.15450456589886874,0.9768565268415164,0.2668092346353277,0.19861056349498327,7.065600017085671
06,gaussian s=25,3 + gradient-domain thresholds,0.12502971820152436,0.9836931306459976,0.22186044970443067,0.16872305777947413,14.157500001601875
06,gaussian s=25,4 + noise-scaled threshold floor,0.9114068924589886,0.8292895936246282,0.8684113026211889,0.29199191511015876,11.331500019878149
06,gaussian s=25,5 + morphological repair,0.9288398401961948,0.8240359160503261,0.873304780276128,0.31757084416303194,25.468100036960095
06,gaussian s=25,6 Proposed (+ noise-adaptive filter),0.9668340235276872,0.8255506127016184,0.890624037241458,0.35403673563467614,35.45969998231158
06,gaussian s=25,7 Proposed with Sobel + Otsu,0.5986801557356103,0.9804726945225294,0.7434233429085828,0.609035620080026,51.33779998868704
06,salt & pepper 1%,1 Baseline (Gaussian + fixed Canny),0.24837614552875842,0.87860593324418,0.3872728045072214,0.29021879799059025,7.103600015398115
06,salt & pepper 1%,2 + intensity-Otsu thresholds,0.2167279964490772,0.9601675718457465,0.35363408565300025,0.26073710515721965,9.731600002851337
06,salt & pepper 1%,3 + gradient-domain thresholds,0.21955368549686163,0.9751507873693404,0.3584115639384277,0.2652012441178537,13.088100007735193
06,salt & pepper 1%,4 + noise-scaled threshold floor,0.21955368549686163,0.9751507873693404,0.3584115639384277,0.2652012441178537,12.40549999056384
06,salt & pepper 1%,5 + morphological repair,0.2521740791199277,0.9657487513987064,0.39992156472094753,0.29540478486440386,25.64789995085448
06,salt & pepper 1%,6 Proposed (+ noise-adaptive filter),0.29282055422486564,0.9495374034551459,0.4476070153825831,0.33702357194915405,35.864500037860125
06,salt & pepper 1%,7 Proposed with Sobel + Otsu,0.3438796045148307,0.975874020905543,0.5085542724058125,0.37467378900025117,44.26440002862364
06,salt & pepper 5%,1 Baseline (Gaussian + fixed Canny),0.2087369095418419,0.9352364837204225,0.3412988002210028,0.2509694505116815,7.758199993986636
06,salt & pepper 5%,2 + intensity-Otsu thresholds,0.15538438278334354,0.983502087825114,0.2683689179329517,0.19820759035753874,10.720100020989776
06,salt & pepper 5%,3 + gradient-domain thresholds,0.1555447421191632,0.9870227340956852,0.2687389582438905,0.1989379142606895,14.054200029931962
06,salt & pepper 5%,4 + noise-scaled threshold floor,0.22014907058765784,0.9316612537867416,0.3561425953272032,0.26104851694834835,12.60679995175451
06,salt & pepper 5%,5 + morphological repair,0.22471584092671848,0.9268715373488715,0.36173150361942785,0.26420606730617147,26.015100011136383
06,salt & pepper 5%,6 Proposed (+ noise-adaptive filter),0.3178080086081008,0.7707759067711034,0.4500502947973415,0.31125070147028805,60.3586999932304
06,salt & pepper 5%,7 Proposed with Sobel + Otsu,0.3325193987736719,0.9242242296880544,0.48907745100581795,0.3657977857468932,80.34329995280132
06,speckle s=0.15,1 Baseline (Gaussian + fixed Canny),0.3667930179231597,0.8668977375071641,0.5154809436179977,0.34558933292433086,5.397400003857911
